count_date,Unnamed: 0,road_name,adt,latitude,longitude,sampling_count
2010-01-04,1400,GLENFIELD RD,16507.0,-36.794472356470266,174.72389650228283,8
2010-01-04,3216,LAKE RD (DEVONPORT),23655.0,-36.80286964341332,174.7876039215321,12
2010-01-04,4372,MOKOIA RD,17588.0,-36.81080767101732,174.71248126068556,9
2010-01-04,1928,HURSTMERE RD,11946.0,-36.77766580117253,174.77510750639811,8
2010-01-04,131,EAST COAST RD (TAKA/GLENFIELD/E.C,10089.0,-36.720929332629105,174.72395301584473,7
2010-02-04,3964,OLD NORTH RD (KUMEU),2863.0,-36.768847763338925,174.57088328084492,2
2010-02-04,3960,OLD NORTH RD (KUMEU),3140.0,-36.77587525297991,174.57590085650767,1
2010-02-04,3954,OLD NORTH RD (KUMEU),3195.0,-36.78566281012754,174.57736762453897,3
2010-02-05,3973,OLD NORTH RD (KUMEU),2612.0,-36.740591809031685,174.53268680232034,1
2010-02-05,3970,OLD NORTH RD (KUMEU),3368.0,-36.75838960726285,174.56488949225357,2
2010-02-08,3976,OLD NORTH RD (KUMEU),2442.0,-36.73956411550818,174.50658212097233,1
2010-02-08,3983,OLD NORTH RD (KUMEU),1326.0,-36.69921042095253,174.47767490549148,1
2010-02-09,3980,OLD NORTH RD (KUMEU),1305.0,-36.70737241964395,174.47732741120987,1
2010-02-09,4454,SANDSPIT RD (SANDSPIT),1868.0,-36.39579610384821,174.71718897780548,1
2010-02-09,3032,QUEENS PDE,2946.0,-36.8310200201767,174.79290091025945,2
2010-02-09,4383,MAYS ST,309.0,-36.83004628874814,174.80067087054047,1
2010-02-09,2993,VICTORIA RD (DEVONPORT),10451.0,-36.829034507973866,174.79784406414436,1
2010-02-09,3050,KING EDWARD PDE,4642.0,-36.83161779016117,174.79986675850856,1
2010-02-09,828,GREAT NORTH RD (WAITAKERE),23667.0,-36.903489261366346,174.68886043647686,1
2010-02-09,2991,VICTORIA RD (DEVONPORT),6141.0,-36.8313504522726,174.79728157502117,1
2010-02-10,110,EAST COAST RD (TAKA/GLENFIELD/E.C,15786.0,-36.7522268152151,174.74912794595096,1
2010-02-10,2964,SUNNYNOOK RD (EAST),5813.0,-36.75205333265516,174.7462116910989,1
2010-02-10,554,SUNSET RD (WEST),9290.0,-36.75794240845044,174.72312327182945,6
